Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10u","C_0402_1005Metric",150.223002,-103.247000,0.000000,top
"C102","100n","C_0402_1005Metric",150.223003,-104.262999,180.000000,top
"C103","10u","C_0402_1005Metric",150.223002,-105.279000,0.000000,top
"C104","100n","C_0402_1005Metric",150.223003,-106.294999,180.000000,top
"C105","100n","C_0402_1005Metric",150.703003,-107.691999,-90.000000,top
"C106","10n","C_0402_1005Metric",148.562001,-110.741999,0.000000,top
"C107","1u","C_0402_1005Metric",149.959001,-111.221999,90.000000,top
"C108","100n","C_0402_1005Metric",142.875000,-107.186000,-90.000000,top
"C109","100n","C_0402_1005Metric",145.552001,-103.502999,-90.000000,top
"C110","1u","C_0402_1005Metric",152.156001,-104.262999,0.000000,top
"C111","1u","C_0402_1005Metric",146.568001,-103.502999,-90.000000,top
"C112","12p","C_0402_1005Metric",148.547505,-112.870999,-90.000000,top
"C113","12p","C_0402_1005Metric",143.340505,-113.397999,90.000000,top
"C114","1.8p","C_0402_1005Metric",151.483001,-110.203999,-90.000000,top
"C115","1.8p","C_0402_1005Metric",154.356683,-110.203999,-90.000000,top
"C116","100n","C_0402_1005Metric",139.926001,-100.454999,90.000000,top
"C117","10u","C_0402_1005Metric",139.926001,-98.543024,90.000000,top
"C118","100n","C_0402_1005Metric",138.430001,-108.695999,0.000000,top
"C119","100n","C_0402_1005Metric",138.430001,-107.679999,0.000000,top
"D101","Red","LED_0603_1608Metric",136.116001,-97.025999,-90.000000,top
"D102","Green","LED_0603_1608Metric",133.059357,-97.025999,-90.000000,top
"D103","Green","LED_0603_1608Metric",134.592001,-97.025999,-90.000000,top
"D104","Green","LED_0603_1608Metric",131.544001,-97.025999,-90.000000,top
"D105","TPD1E05U06","Texas_DPY0002A_0.6x1mm_P0.65mm",137.886974,-102.232999,-90.000000,top
"D106","TPD1E05U06","Texas_DPY0002A_0.6x1mm_P0.65mm",137.894001,-105.915999,90.000000,top
"J101","GT-USB-7010ASV","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",131.984001,-103.979999,-90.000000,top
"L101","2n","L_0402_1005Metric",149.743001,-107.691998,90.000000,top
"L102","2.5n","L_0402_1005Metric",152.919842,-109.723999,0.000000,top
"R101","200","R_0402_1005Metric",137.894001,-96.643000,90.000000,top
"R102","22","R_0402_1005Metric",138.910001,-98.549999,-90.000000,top
"R103","22","R_0402_1005Metric",138.910001,-96.644999,90.000000,top
"R104","22","R_0402_1005Metric",137.894001,-98.549999,-90.000000,top
"R105","200","R_0402_1005Metric",152.156001,-103.246999,0.000000,top
"R106","10k","R_0402_1005Metric",147.584001,-103.502999,90.000000,top
"R107","10k","R_0402_1005Metric",148.600001,-103.502999,-90.000000,top
"R108","10k","R_0402_1005Metric",144.536001,-103.502999,-90.000000,top
"R109","5.1k","R_0402_1005Metric",138.910001,-101.978999,-90.000000,top
"R110","5.1k","R_0402_1005Metric",138.910001,-106.155999,90.000000,top
"R111","0","R_0402_1005Metric",140.843000,-107.186000,-90.000000,top
"R112","0","R_0402_1005Metric",141.859001,-107.186000,-90.000000,top
"SW101","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",133.116001,-112.138999,0.000000,top
"U101","TSOP348xx","Vishay_MOLD-3Pin",151.184001,-101.494024,90.000000,top
"U103","USBLC6-2P6","SOT-666",138.861974,-104.040499,0.000000,top
"U104","AMS1117-3.3","SOT-223",144.981001,-98.944999,0.000000,top
"U105","ESP8685","QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm",146.116501,-107.509999,180.000000,top
"Y101","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",145.964505,-113.027999,180.000000,top
